Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
McNeese State,157.00,29.00,40.30,26.90,61.60,0.44,7.10,20.60,0.34,14.40,20.30,0.71,14.30,17.40,11.40,27.20,38.70,11.30,5.40,4.60,75.30,228.00,0.53,0.49,149.00,31.00,69.30,50.70,41.90,16.80,7.30,10.60,1.20,51.10,101.60,102.70,-1.20,2150.60,73.50,80.00,18.00,0.00,0.00,0.00,0.00,1.00,2.00,103.00,-0.90,0.00,1.42,0.80,0.40,0.23,12.00,17.00,0.41,2018.00,Independents Conference,0.34
Memphis,299.00,34.00,40.60,24.40,53.90,0.45,5.90,18.60,0.32,16.20,23.50,0.69,13.70,17.10,10.80,22.40,33.20,13.00,5.90,3.80,70.80,217.00,0.55,0.51,145.90,34.00,66.90,50.90,53.50,17.40,8.70,11.30,1.30,48.90,104.50,105.00,-0.50,2304.70,66.80,131.00,14.00,0.00,0.00,0.00,0.00,2.00,0.00,96.00,-0.40,0.00,1.54,0.90,0.40,0.30,21.00,13.00,0.62,2018.00,Independents Conference,-0.48
Mercer,154.00,34.00,40.60,25.80,54.50,0.47,8.50,22.00,0.39,15.20,20.00,0.76,12.50,17.10,9.10,24.20,33.40,14.40,5.40,1.60,75.30,88.00,0.59,0.55,161.80,31.20,75.60,54.40,55.80,16.30,8.00,5.70,1.40,53.80,112.20,104.00,8.20,2282.20,66.20,186.00,11.00,0.00,0.00,0.00,0.00,2.00,0.00,110.00,5.50,0.00,1.56,1.20,0.40,0.28,19.00,15.00,0.56,2018.00,Independents Conference,-0.24
Mercy College,651.00,1.00,40.00,14.00,58.00,0.24,3.00,14.00,0.21,10.00,14.00,0.71,19.00,20.00,14.00,25.00,39.00,6.00,2.00,3.00,41.00,552.00,0.32,0.27,117.00,30.40,55.60,42.90,42.90,22.70,2.90,7.30,0.70,7.00,59.40,108.60,-49.20,69.00,69.00,494.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,-34.00,0.00,1.43,0.30,0.10,0.17,0.00,1.00,0.00,2018.00,Independents Conference,6.91
Methodist,336.00,2.00,40.00,25.50,59.50,0.43,5.50,15.00,0.37,13.00,19.50,0.67,22.00,24.50,9.50,18.00,27.50,10.50,7.00,1.50,69.50,537.00,0.51,0.48,146.20,26.00,61.00,41.70,41.20,24.20,8.50,3.00,1.20,25.30,84.80,131.10,-46.30,164.00,82.00,572.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,-38.00,0.00,1.41,0.50,0.30,0.22,0.00,2.00,0.00,2018.00,Independents Conference,6.91
Miami (FL),206.00,32.00,40.30,27.30,58.80,0.47,7.70,21.20,0.36,11.30,17.10,0.66,11.40,16.20,9.40,24.40,33.80,13.20,6.60,4.10,73.70,82.00,0.55,0.53,149.10,28.60,73.20,51.00,48.50,14.60,9.50,11.00,1.30,54.90,106.80,98.30,8.50,2208.70,68.50,201.00,10.00,1.00,0.00,0.00,0.00,1.00,0.00,94.00,5.90,0.00,1.49,1.20,0.60,0.19,22.00,10.00,0.69,2018.00,Independents Conference,-0.79
Miami (OH),263.00,34.00,40.90,26.10,59.00,0.44,8.90,25.80,0.34,11.10,16.10,0.69,13.40,16.70,9.40,25.80,35.20,13.30,7.60,2.60,72.00,181.00,0.54,0.52,147.10,27.60,74.60,51.20,51.10,16.70,10.70,7.00,1.20,51.10,102.00,100.10,1.90,2401.20,69.10,85.00,17.00,0.00,0.00,0.00,0.00,7.00,0.00,123.00,1.30,0.00,1.51,1.00,0.60,0.19,16.00,18.00,0.47,2018.00,Independents Conference,0.11
Michigan,210.00,41.00,40.40,26.60,57.00,0.47,8.80,24.70,0.36,11.60,17.50,0.66,9.20,15.70,7.90,24.20,32.10,14.30,6.40,3.10,73.60,20.00,0.56,0.55,148.60,24.70,75.80,50.20,53.60,12.40,9.50,8.10,1.30,56.50,110.00,94.60,15.40,2743.80,66.30,105.00,16.00,0.00,0.00,0.00,0.00,1.00,0.00,102.00,10.30,0.00,1.54,1.50,0.70,0.20,33.00,8.00,0.81,2018.00,Independents Conference,-1.42
Michigan-Dearborn,97.00,2.00,40.00,29.50,70.50,0.42,10.00,28.50,0.35,8.50,12.00,0.71,14.00,19.50,13.00,22.00,35.00,18.50,7.50,4.00,77.50,438.00,0.51,0.49,147.80,30.60,64.70,45.80,62.70,15.50,9.70,10.10,1.10,55.90,100.30,130.80,-30.40,154.50,77.20,602.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,-23.50,0.00,1.63,1.30,0.50,0.12,0.00,2.00,0.00,2018.00,Independents Conference,6.91
Michigan State,59.00,35.00,40.10,28.30,57.00,0.50,8.30,20.70,0.40,15.30,20.50,0.75,13.10,18.30,11.30,29.10,40.40,19.10,4.10,7.10,80.20,3.00,0.60,0.57,164.40,37.00,75.20,58.40,67.60,16.40,5.90,18.40,1.40,70.70,116.20,94.00,22.20,2414.70,68.70,17.00,25.00,3.00,0.00,1.00,0.00,0.00,8.00,111.00,15.30,0.00,1.68,1.50,0.30,0.27,30.00,5.00,0.86,2018.00,Independents Conference,-1.79
