Team,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season,Leage,ln1divwmin1
Central Baptist,488.00,2.00,40.00,22.00,57.50,0.38,3.00,13.00,0.23,9.50,20.00,0.48,16.50,22.50,10.00,19.50,29.50,7.50,7.50,1.00,56.50,486.00,0.43,0.41,108.80,24.40,62.90,41.00,34.10,19.90,9.90,2.10,1.00,18.80,75.80,112.70,-36.90,149.00,74.50,582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,-27.50,0.00,1.34,0.50,0.50,0.17,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Central Connecticut State,450.00,31.00,40.20,21.70,54.00,0.40,4.70,14.60,0.32,11.00,15.50,0.71,13.70,13.80,10.20,22.30,32.50,11.00,4.90,3.50,59.20,381.00,0.49,0.45,143.40,30.40,68.10,49.00,50.40,18.40,7.60,9.30,1.10,38.40,91.10,108.00,-16.80,2012.30,64.60,79.00,14.00,2.00,0.00,0.00,0.00,1.00,1.00,81.00,-10.90,0.00,1.50,0.80,0.40,0.20,5.00,26.00,0.16,2015.00,Great West Conference,1.64
Central Michigan,21.00,32.00,40.20,26.50,56.80,0.47,10.10,27.00,0.37,15.20,20.90,0.73,10.20,17.60,9.50,22.90,32.40,14.00,7.10,2.60,78.20,22.00,0.59,0.56,156.50,29.40,70.30,49.90,52.80,13.30,10.50,7.50,1.40,59.10,116.00,101.30,14.70,2158.00,67.20,268.00,6.00,0.00,1.00,0.00,0.00,2.00,0.00,125.00,9.90,3.00,1.53,1.40,0.70,0.27,23.00,9.00,0.72,2015.00,Great West Conference,-0.94
Central Penn,135.00,5.00,40.00,27.60,68.40,0.40,3.60,16.00,0.23,11.20,19.40,0.58,17.60,19.00,12.80,17.00,29.80,8.20,10.20,1.00,70.00,556.00,0.46,0.43,120.60,27.70,54.50,38.50,29.70,18.60,12.30,2.20,1.00,29.20,84.60,137.10,-52.50,413.60,82.60,361.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,-43.40,0.00,1.30,0.50,0.60,0.16,0.00,5.00,0.00,2015.00,Great West Conference,6.91
Chadron State,609.00,1.00,40.00,15.00,59.00,0.25,5.00,26.00,0.19,7.00,14.00,0.50,19.00,25.00,13.00,26.00,39.00,7.00,6.00,3.00,42.00,588.00,0.32,0.30,94.70,27.10,74.30,47.00,46.70,22.60,8.00,6.40,0.70,9.50,57.30,118.80,-61.40,73.30,73.30,513.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,-45.00,0.00,1.47,0.40,0.30,0.12,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Chaminade,173.00,4.00,40.00,22.80,60.00,0.38,9.00,26.20,0.34,14.50,20.20,0.72,15.20,24.20,9.80,19.20,29.00,11.00,7.00,3.20,69.00,446.00,0.50,0.45,143.80,24.10,50.70,36.90,48.40,18.10,9.10,7.60,1.10,34.50,91.00,122.00,-31.00,303.40,75.80,514.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,-23.50,0.00,1.48,0.70,0.50,0.24,0.00,4.00,0.00,2015.00,Great West Conference,6.91
Champion Christian,607.00,4.00,40.00,15.50,53.50,0.29,3.80,16.00,0.23,8.20,12.80,0.65,24.80,15.50,6.20,14.50,20.80,8.20,4.00,1.20,43.00,637.00,0.36,0.33,117.10,16.30,45.00,29.40,53.20,29.50,5.10,2.30,0.80,-3.80,55.00,148.10,-93.10,312.60,78.10,451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,-72.80,0.00,1.53,0.30,0.20,0.15,0.00,4.00,0.00,2015.00,Great West Conference,6.91
Chapman,630.00,1.00,40.00,12.00,50.00,0.24,3.00,10.00,0.30,9.00,18.00,0.50,19.00,16.00,15.00,15.00,30.00,4.00,2.00,2.00,36.00,632.00,0.31,0.27,104.00,34.10,78.90,47.60,33.30,24.70,3.20,5.40,0.70,-1.00,57.90,140.00,-82.10,62.10,62.10,422.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,-51.00,0.00,1.33,0.20,0.10,0.18,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Charleston,461.00,33.00,40.30,20.80,51.80,0.40,6.00,17.40,0.34,11.10,16.80,0.66,12.00,20.60,8.90,22.00,30.90,9.60,5.50,2.90,58.60,319.00,0.50,0.46,140.40,26.70,68.00,47.00,46.20,16.90,8.80,8.50,1.10,34.40,93.50,103.00,-9.50,2069.50,62.20,288.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,85.00,-6.00,0.00,1.46,0.80,0.50,0.21,9.00,24.00,0.27,2015.00,Great West Conference,0.97
Charleston Southern,58.00,31.00,40.60,25.10,59.50,0.42,9.30,27.30,0.34,14.00,20.40,0.69,11.40,17.40,12.50,24.10,36.50,12.80,6.90,2.20,73.50,102.00,0.53,0.50,144.90,33.90,73.50,52.50,51.10,14.20,10.20,6.80,1.20,52.60,107.90,100.90,7.00,2110.70,67.00,199.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,105.00,4.70,4.00,1.51,1.10,0.60,0.24,19.00,12.00,0.61,2015.00,Great West Conference,-0.46
Charlotte,54.00,32.00,41.20,26.80,57.90,0.46,6.30,16.70,0.38,13.90,21.40,0.65,13.60,17.50,11.30,24.30,35.70,13.70,6.50,2.50,73.80,163.00,0.55,0.52,149.00,33.20,70.00,51.70,50.90,16.80,9.30,6.80,1.30,50.60,105.50,103.50,2.00,2238.50,67.80,125.00,12.00,0.00,0.00,0.00,0.00,5.00,0.00,106.00,1.40,3.00,1.51,1.00,0.50,0.24,14.00,18.00,0.44,2015.00,Great West Conference,0.25
Chattanooga,70.00,32.00,40.80,24.80,54.80,0.45,6.80,19.40,0.35,16.30,23.80,0.69,13.10,19.40,10.80,22.60,33.40,12.00,6.60,6.30,72.70,76.00,0.56,0.51,148.70,32.90,69.30,51.00,48.40,16.70,9.60,16.20,1.30,51.50,106.40,97.90,8.40,2186.20,67.00,56.00,17.00,0.00,0.00,0.00,0.00,1.00,6.00,110.00,5.80,2.00,1.48,0.90,0.50,0.30,22.00,10.00,0.69,2015.00,Great West Conference,-0.79
Cheyney,209.00,1.00,37.80,30.00,71.00,0.42,7.00,22.00,0.32,1.00,4.00,0.25,12.00,24.00,7.00,18.00,25.00,13.00,6.00,1.00,68.00,438.00,0.47,0.47,99.10,17.50,72.00,38.50,43.30,14.20,8.00,2.90,1.00,31.50,89.00,117.80,-28.80,76.40,80.80,624.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,-22.00,1.00,1.43,1.10,0.50,0.01,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Chicago State,469.00,32.00,40.20,20.60,54.60,0.38,6.10,20.10,0.30,10.70,16.10,0.67,14.70,21.20,11.80,20.20,32.00,9.20,8.40,2.90,58.00,349.00,0.47,0.43,134.60,33.20,67.60,48.90,44.80,19.30,12.80,9.80,1.10,32.90,88.90,101.40,-12.50,2086.50,64.90,267.00,6.00,0.00,0.00,0.00,0.00,2.00,0.00,102.00,-8.10,2.00,1.45,0.60,0.60,0.20,8.00,24.00,0.25,2015.00,Great West Conference,1.09
Cincinnati,380.00,34.00,40.60,22.40,50.10,0.45,4.90,14.90,0.33,12.50,18.60,0.67,12.80,14.90,10.80,22.60,33.40,11.60,6.50,5.40,62.10,55.00,0.53,0.50,144.60,36.60,69.10,53.70,51.80,18.00,10.60,15.40,1.20,47.90,101.50,91.10,10.30,2082.50,60.40,234.00,7.00,0.00,0.00,0.00,0.00,2.00,1.00,84.00,6.30,7.00,1.52,0.90,0.50,0.25,23.00,11.00,0.68,2015.00,Great West Conference,-0.74
Cincinnati-Clermont,542.00,2.00,40.00,16.50,56.50,0.29,6.00,28.00,0.21,12.50,19.50,0.64,20.50,21.50,9.50,23.00,32.50,5.00,3.00,0.00,51.50,630.00,0.40,0.35,114.70,21.60,61.30,39.90,30.30,24.00,3.80,0.00,0.90,5.30,66.20,142.70,-76.50,155.60,77.80,498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,-59.50,1.00,1.30,0.20,0.10,0.22,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Cincinnati Christian,185.00,2.00,40.00,20.00,56.00,0.36,7.00,26.00,0.27,21.50,27.00,0.80,13.50,22.00,10.00,20.50,30.50,9.00,7.50,2.50,68.50,395.00,0.51,0.42,142.30,25.00,58.60,40.70,45.00,16.60,10.50,5.80,1.20,36.20,95.40,114.90,-19.50,143.70,71.80,448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,-14.00,0.00,1.45,0.70,0.60,0.38,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Citadel,336.00,30.00,40.30,21.60,47.90,0.45,6.90,17.20,0.40,14.00,18.20,0.77,13.00,15.00,8.20,19.60,27.80,13.10,4.70,2.20,64.00,302.00,0.57,0.52,161.80,30.60,67.20,49.60,60.90,18.90,7.60,6.40,1.30,43.30,104.10,111.60,-7.50,1843.40,60.90,196.00,8.00,0.00,0.00,0.00,0.00,1.00,1.00,85.00,-4.60,1.00,1.61,1.00,0.40,0.29,11.00,19.00,0.37,2015.00,Great West Conference,0.54
Clarks Summit,364.00,1.00,40.00,24.00,67.00,0.36,8.00,30.00,0.27,7.00,12.00,0.58,17.00,18.00,10.00,23.00,33.00,10.00,6.00,0.00,63.00,549.00,0.44,0.42,120.80,21.70,60.50,39.30,41.70,19.00,7.50,0.00,0.90,25.50,78.90,130.30,-51.40,79.80,79.80,454.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,-41.00,0.00,1.42,0.60,0.40,0.10,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Clayton State,585.00,1.00,40.00,18.00,52.00,0.35,4.00,21.00,0.19,6.00,15.00,0.40,12.00,19.00,10.00,20.00,30.00,5.00,6.00,3.00,46.00,401.00,0.39,0.39,93.70,25.60,58.80,41.10,27.80,17.00,10.00,7.00,0.90,18.90,76.10,97.60,-21.50,60.50,60.50,512.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,-13.00,0.00,1.28,0.40,0.50,0.12,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Clemson,370.00,31.00,40.30,22.20,54.40,0.41,5.50,18.50,0.30,12.70,18.70,0.68,11.80,16.20,11.40,23.70,35.10,10.60,5.40,4.80,62.70,189.00,0.50,0.46,139.00,33.70,69.30,51.60,47.90,15.80,8.50,12.90,1.20,44.70,98.30,97.40,0.90,1978.10,63.30,154.00,10.00,0.00,0.00,0.00,0.00,0.00,2.00,86.00,0.50,1.00,1.48,0.90,0.50,0.23,16.00,15.00,0.52,2015.00,Great West Conference,-0.07
Cleveland State,224.00,34.00,40.40,24.30,53.50,0.45,7.30,19.00,0.38,11.60,16.90,0.69,12.00,19.10,9.80,21.40,31.20,13.40,7.80,3.30,67.50,67.00,0.55,0.52,152.20,32.00,69.80,50.90,55.00,16.40,12.30,10.40,1.30,49.20,105.80,96.70,9.00,2168.50,63.10,59.00,16.00,1.00,0.00,0.00,0.00,3.00,1.00,88.00,5.80,4.00,1.55,1.10,0.70,0.22,19.00,15.00,0.56,2015.00,Great West Conference,-0.24
Coast Guard Academy,581.00,1.00,40.00,22.00,46.00,0.48,2.00,8.00,0.25,2.00,6.00,0.33,21.00,16.00,5.00,20.00,25.00,15.00,3.00,2.00,48.00,618.00,0.49,0.50,106.20,17.90,51.30,37.30,68.20,30.20,4.60,6.10,1.00,22.20,73.80,143.00,-69.20,65.00,65.00,603.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,-45.00,0.00,1.68,0.70,0.10,0.04,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Coastal Carolina,88.00,34.00,40.00,24.60,55.90,0.44,6.70,18.60,0.36,15.80,22.90,0.69,11.80,16.40,12.40,25.80,38.20,11.30,7.10,3.30,71.70,25.00,0.54,0.50,149.00,36.80,74.60,55.90,46.10,15.20,10.80,10.20,1.30,54.60,109.00,94.80,14.20,2237.60,65.80,58.00,16.00,1.00,0.00,0.00,0.00,2.00,1.00,96.00,9.30,3.00,1.46,1.00,0.60,0.28,24.00,10.00,0.71,2015.00,Great West Conference,-0.88
Coker,540.00,1.00,40.00,18.00,58.00,0.31,7.00,21.00,0.33,9.00,14.00,0.64,19.00,21.00,14.00,17.00,31.00,8.00,8.00,1.00,52.00,490.00,0.40,0.37,128.70,32.60,48.60,39.70,44.40,22.70,11.40,1.90,0.90,17.50,74.50,111.70,-37.20,69.80,69.80,599.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,-26.00,0.00,1.44,0.40,0.40,0.16,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Colgate,274.00,33.00,40.80,24.40,50.30,0.48,7.70,19.70,0.39,9.60,13.70,0.70,11.50,16.90,6.50,22.70,29.20,13.50,5.20,2.70,66.00,155.00,0.59,0.56,157.10,23.20,72.40,49.20,55.50,16.90,8.30,7.60,1.30,47.10,106.30,103.80,2.50,2047.70,60.80,303.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,1.60,0.00,1.56,1.20,0.40,0.19,16.00,17.00,0.49,2015.00,Great West Conference,0.06
College of Faith,300.00,1.00,40.00,19.00,54.00,0.35,6.00,20.00,0.30,21.00,34.00,0.62,29.00,29.00,8.00,14.00,22.00,10.00,10.00,0.00,65.00,600.00,0.47,0.41,126.90,20.50,45.20,31.40,52.60,29.60,10.90,0.00,1.20,6.80,71.00,134.30,-63.30,91.60,91.60,466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,-58.00,0.00,1.53,0.30,0.30,0.39,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Colorado,177.00,34.00,40.60,23.90,54.70,0.44,5.30,15.70,0.34,15.90,22.40,0.71,13.20,18.10,11.00,25.10,36.00,11.80,5.70,3.90,69.00,181.00,0.53,0.48,148.40,33.50,72.70,53.60,49.30,17.00,8.50,11.10,1.30,47.70,102.60,101.30,1.20,2286.70,66.30,85.00,14.00,1.00,1.00,0.00,0.00,0.00,1.00,98.00,0.80,4.00,1.49,0.90,0.40,0.29,16.00,18.00,0.47,2015.00,Great West Conference,0.11
Colorado Christian,527.00,2.00,40.00,15.50,52.00,0.30,7.00,27.50,0.26,14.50,21.50,0.67,16.50,19.00,13.50,18.50,32.00,10.50,8.00,2.50,52.50,523.00,0.43,0.37,122.70,31.00,68.50,45.40,67.70,21.20,12.50,8.20,1.00,27.80,81.30,126.20,-44.90,129.20,64.60,477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,-29.00,0.00,1.68,0.60,0.50,0.28,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Colorado State,78.00,34.00,40.10,24.60,55.90,0.44,7.20,20.60,0.35,15.70,23.40,0.67,10.60,16.90,11.40,25.10,36.50,14.70,5.60,3.40,72.20,40.00,0.55,0.51,146.50,33.60,76.10,54.50,59.60,13.80,8.40,9.80,1.30,56.20,108.80,96.70,12.10,2254.70,66.10,108.00,13.00,1.00,0.00,0.00,0.00,1.00,1.00,98.00,8.00,2.00,1.60,1.40,0.50,0.28,27.00,7.00,0.79,2015.00,Great West Conference,-1.35
Columbia,306.00,28.00,40.00,22.80,51.90,0.44,8.70,23.90,0.36,10.60,14.90,0.72,11.60,17.90,9.80,21.80,31.50,11.90,4.90,3.60,64.90,132.00,0.56,0.52,151.90,32.30,71.70,52.00,52.30,16.60,8.00,10.10,1.30,46.20,106.20,101.50,4.60,1710.60,61.10,305.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,112.00,2.80,1.00,1.52,1.00,0.40,0.21,13.00,15.00,0.46,2015.00,Great West Conference,0.14
Columbia International,515.00,3.00,40.00,16.70,52.00,0.32,6.70,21.30,0.31,13.70,19.70,0.70,17.30,27.30,8.30,20.70,29.00,8.70,4.00,2.30,53.70,569.00,0.44,0.39,132.80,21.90,53.90,38.00,52.00,22.20,5.50,5.60,1.00,15.10,74.80,129.70,-54.80,215.20,71.70,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,-39.30,0.00,1.52,0.50,0.20,0.26,0.00,3.00,0.00,2015.00,Great West Conference,6.91
Concordia (OR),408.00,2.00,40.00,22.50,67.50,0.33,4.50,18.00,0.25,11.50,19.00,0.61,15.00,18.50,10.00,19.00,29.00,7.50,7.50,4.00,61.00,483.00,0.40,0.37,118.90,20.40,51.40,33.70,33.30,16.50,9.30,7.80,0.90,22.20,75.40,111.90,-36.50,161.80,80.90,426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,-29.50,0.00,1.33,0.50,0.50,0.17,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Concordia College (AL),16.00,1.00,40.00,30.00,63.00,0.48,3.00,10.00,0.30,16.00,21.00,0.76,7.00,20.00,13.00,31.00,44.00,8.00,4.00,6.00,79.00,35.00,0.55,0.50,153.80,40.60,56.40,50.60,26.70,8.80,5.20,9.80,1.30,61.10,109.90,97.40,12.50,71.90,71.90,349.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,9.00,0.00,1.27,1.10,0.60,0.25,1.00,0.00,1.00,2015.00,Great West Conference,-13.82
Concordia St. Paul,454.00,1.00,40.00,22.00,59.00,0.37,8.00,18.00,0.44,7.00,17.00,0.41,8.00,26.00,13.00,25.00,38.00,14.00,7.00,2.00,59.00,308.00,0.44,0.44,122.90,30.20,69.40,48.10,63.60,10.70,11.30,7.10,1.00,42.10,95.30,103.40,-8.10,61.90,61.90,525.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,-5.00,0.00,1.64,1.80,0.90,0.12,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Concordia University (MI),546.00,2.00,40.00,17.50,57.00,0.31,11.50,32.00,0.36,4.50,8.50,0.53,18.50,23.00,8.00,19.50,27.50,12.50,3.50,0.50,51.00,611.00,0.42,0.41,119.60,19.50,63.90,38.50,71.40,23.30,4.90,1.40,0.90,14.20,71.60,138.20,-66.60,142.60,71.30,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,-47.50,0.00,1.71,0.70,0.20,0.08,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Connecticut,330.00,35.00,40.10,22.90,52.10,0.44,6.50,18.20,0.36,11.90,16.90,0.71,11.60,16.30,8.80,23.40,32.20,11.90,4.70,5.20,64.10,107.00,0.54,0.50,150.00,29.30,69.70,50.60,52.00,16.30,7.60,14.80,1.20,47.00,102.30,95.80,6.50,2193.50,62.40,113.00,12.00,0.00,1.00,0.00,0.00,1.00,12.00,106.00,4.10,2.00,1.52,1.00,0.40,0.23,20.00,15.00,0.57,2015.00,Great West Conference,-0.29
Coppin State,92.00,31.00,40.00,24.50,61.50,0.40,9.50,26.60,0.36,13.20,19.00,0.69,13.50,20.40,9.70,21.20,30.90,12.60,6.70,3.20,71.60,364.00,0.51,0.48,144.60,25.10,62.80,42.70,51.50,16.20,9.00,7.60,1.20,42.70,96.50,111.30,-14.70,2299.10,74.20,213.00,8.00,1.00,0.00,0.00,0.00,3.00,0.00,103.00,-10.90,1.00,1.52,0.90,0.50,0.21,8.00,23.00,0.26,2015.00,Great West Conference,1.05
Corban,383.00,1.00,40.00,17.00,43.00,0.40,6.00,16.00,0.38,22.00,30.00,0.73,13.00,18.00,6.00,18.00,24.00,8.00,2.00,1.00,62.00,487.00,0.55,0.47,150.40,20.70,56.20,39.30,47.10,18.80,3.00,2.00,1.40,27.00,95.50,132.50,-37.00,64.90,64.90,471.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,-24.00,0.00,1.47,0.60,0.20,0.51,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Cornell,376.00,30.00,40.30,20.50,51.90,0.40,6.00,19.30,0.31,15.20,20.30,0.75,12.00,19.00,7.70,23.80,31.40,10.40,6.20,4.70,62.30,173.00,0.51,0.45,145.70,23.20,70.90,47.20,50.70,16.30,9.60,14.50,1.20,40.70,95.00,93.50,1.50,1966.50,65.00,129.00,11.00,0.00,0.00,0.00,0.00,0.00,1.00,107.00,1.00,0.00,1.51,0.90,0.50,0.29,13.00,17.00,0.43,2015.00,Great West Conference,0.27
Creighton,230.00,33.00,40.60,22.60,53.80,0.42,7.90,23.00,0.35,14.20,19.50,0.73,11.90,17.80,9.60,23.40,33.00,13.60,4.50,2.30,67.30,193.00,0.54,0.49,149.00,30.00,72.60,51.30,60.20,16.00,6.90,6.70,1.30,45.60,103.50,102.90,0.70,2145.30,64.00,240.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,104.00,0.40,0.00,1.60,1.10,0.40,0.26,14.00,19.00,0.42,2015.00,Great West Conference,0.30
Crowley's Ridge College,65.00,2.00,40.00,25.50,60.00,0.43,8.50,23.00,0.37,13.50,17.00,0.79,21.00,21.00,12.00,25.00,37.00,11.50,4.00,3.00,73.00,413.00,0.54,0.50,158.90,32.90,64.90,49.30,45.10,23.70,5.00,5.70,1.20,39.40,92.90,117.10,-24.20,157.10,78.60,358.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,-19.00,1.00,1.45,0.50,0.20,0.23,0.00,2.00,0.00,2015.00,Great West Conference,6.91
Dallas Christian,602.00,1.00,40.00,14.00,60.00,0.23,0.00,12.00,0.00,16.00,26.00,0.62,16.00,16.00,16.00,17.00,33.00,6.00,8.00,1.00,44.00,585.00,0.31,0.23,84.90,31.40,56.70,40.70,42.90,18.30,10.70,2.30,0.70,9.00,59.90,119.80,-59.90,73.50,73.50,527.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,-44.00,0.00,1.43,0.40,0.50,0.27,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Daniel Webster,584.00,1.00,40.00,16.00,53.00,0.30,10.00,25.00,0.40,5.00,6.00,0.83,18.00,15.00,8.00,15.00,23.00,5.00,6.00,0.00,47.00,633.00,0.42,0.40,153.50,21.60,50.00,34.30,31.20,24.40,8.90,0.00,0.90,9.80,70.70,153.50,-82.80,66.50,66.50,628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,-55.00,0.00,1.31,0.30,0.30,0.09,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Dartmouth,356.00,29.00,40.30,22.70,52.10,0.44,6.00,17.20,0.35,12.00,18.60,0.65,12.90,19.10,9.80,22.00,31.70,12.30,7.60,3.50,63.30,200.00,0.52,0.49,142.70,30.30,72.10,50.60,54.30,17.50,11.90,11.70,1.20,44.00,99.10,98.70,0.30,1852.40,63.30,217.00,8.00,1.00,0.00,0.00,0.00,3.00,2.00,84.00,0.20,0.00,1.54,1.00,0.60,0.23,14.00,15.00,0.48,2015.00,Great West Conference,0.06
Davidson,15.00,32.00,40.20,28.10,60.10,0.47,10.70,27.40,0.39,12.20,17.30,0.71,9.50,18.80,9.90,24.60,34.50,17.10,5.30,2.90,79.00,26.00,0.58,0.56,156.30,29.80,70.10,50.50,60.90,12.30,7.80,7.50,1.30,62.10,116.20,102.10,14.20,2175.80,67.70,302.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,110.00,9.60,0.00,1.61,1.80,0.60,0.20,24.00,8.00,0.75,2015.00,Great West Conference,-1.10
Dayton,215.00,36.00,40.10,22.50,48.80,0.46,6.60,18.60,0.36,16.10,23.50,0.69,11.50,15.90,6.40,23.50,29.90,13.60,6.90,2.50,67.80,53.00,0.57,0.53,150.40,21.80,72.60,48.50,60.50,16.10,10.70,7.20,1.40,49.80,104.00,93.40,10.60,2344.20,64.90,82.00,14.00,0.00,0.00,0.00,0.00,4.00,0.00,101.00,6.90,2.00,1.61,1.20,0.60,0.33,27.00,9.00,0.75,2015.00,Great West Conference,-1.10
Delaware,276.00,30.00,40.50,22.50,54.90,0.41,6.60,19.20,0.35,14.30,20.90,0.69,12.20,17.40,9.70,23.90,33.70,12.50,4.30,3.60,66.00,316.00,0.51,0.47,144.10,27.80,69.00,48.30,55.70,15.90,6.30,9.80,1.20,43.60,98.00,107.00,-9.00,2019.10,66.50,326.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,-6.10,2.00,1.56,1.00,0.30,0.26,10.00,20.00,0.33,2015.00,Great West Conference,0.69
Delaware State,123.00,36.00,40.10,24.70,58.90,0.42,7.80,22.20,0.35,13.20,18.70,0.71,13.40,17.10,10.60,25.60,36.20,11.90,5.00,3.90,70.40,251.00,0.52,0.49,147.90,30.10,69.70,50.30,48.40,16.70,7.10,10.30,1.20,47.70,99.90,102.80,-2.90,2535.30,70.20,23.00,22.00,3.00,2.00,3.00,0.00,0.00,7.00,104.00,-2.10,3.00,1.48,0.90,0.40,0.22,18.00,18.00,0.50,2015.00,Great West Conference,0.00
Denver,378.00,30.00,40.50,21.90,45.60,0.48,7.50,19.60,0.38,10.90,14.20,0.77,11.20,20.30,4.60,18.40,23.10,15.20,6.00,1.80,62.20,220.00,0.60,0.56,162.60,18.30,70.20,44.70,69.60,17.80,10.10,5.90,1.40,42.20,105.10,106.50,-1.40,1773.90,58.40,339.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,88.00,-0.80,1.00,1.70,1.40,0.50,0.24,12.00,18.00,0.40,2015.00,Great West Conference,0.40
DePaul,154.00,32.00,40.20,23.70,54.30,0.44,7.80,22.00,0.35,14.30,19.80,0.72,13.30,21.20,8.60,20.40,29.00,12.30,6.60,3.80,69.40,284.00,0.54,0.51,150.80,26.60,65.10,45.60,52.20,17.30,9.80,10.30,1.30,43.70,101.80,108.00,-6.10,2180.60,67.90,299.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,87.00,-4.20,3.00,1.52,0.90,0.50,0.26,12.00,20.00,0.38,2015.00,Great West Conference,0.51
Detroit-Mercy,115.00,33.00,40.50,25.50,57.20,0.45,7.00,18.20,0.38,12.80,18.80,0.68,13.20,20.80,9.50,22.60,32.10,13.50,7.70,3.40,70.70,206.00,0.54,0.51,151.20,28.90,71.60,49.70,52.90,16.80,11.00,10.90,1.20,47.60,101.30,101.40,0.00,2303.20,69.00,263.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,109.00,0.00,5.00,1.53,1.00,0.60,0.22,15.00,18.00,0.46,2015.00,Great West Conference,0.18
Dickinson State,580.00,1.00,40.00,19.00,55.00,0.35,6.00,20.00,0.30,4.00,15.00,0.27,23.00,14.00,14.00,18.00,32.00,9.00,4.00,1.00,48.00,513.00,0.39,0.40,91.20,32.60,72.00,47.10,47.40,27.20,5.50,2.60,0.90,12.60,67.00,108.90,-41.90,71.70,71.70,593.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,-30.00,0.00,1.47,0.40,0.20,0.07,0.00,1.00,0.00,2015.00,Great West Conference,6.91
Dillard,333.00,2.00,38.90,23.50,57.50,0.41,5.00,18.50,0.27,12.00,16.50,0.73,11.50,17.50,7.50,17.50,25.00,10.50,2.00,0.50,64.00,422.00,0.49,0.45,140.60,23.40,63.60,42.00,44.70,15.10,2.90,1.40,1.10,28.90,93.30,118.80,-25.50,137.20,70.60,511.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,-17.50,0.00,1.45,0.90,0.20,0.21,0.00,2.00,0.00,2015.00,Great West Conference,6.91
